"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vn_wane_rate","Vwp_wane_rate","Vap_wane_rate","Vn_fail_rate","Vn_symptom_mod","V_fail_rate","V_symptom_mod","naive_symptom_rate","beta0","beta1","beta_mod_An","beta_mod_Av","beta_mod_A","rho","sigmaSE","lag","S_0","E_0","En_0","Ev_0","I_0","A_0","An_0","Av_0","Vn_0","Vwp_0"
"US","waning.diff.protection.same.symptoms.same.transmission.same","all","two.weeks",1216,-6115.86088651823,1.97291928457304,0.024325363993396,0.00461019385885692,0.00149739775562012,0.184860043340556,64.9728574445545,0.583856742224315,6.29534217453552,0.00685724578919067,0.102537300694635,0.0209939907637082,0.839095339427412,0.756572818015275,0.726339250047222,0.0219211291887213,1.43657234179172,0.983109697045954,0.1980997470511,0.000138147254177137,0.0368258619518184,0.0330327917362738,0.0196895101168308,0.0360195418285071,0.00211620242732572,0.036080810165598,0.212768682424908,0.425228705043461
"US","waning.diff.protection.same.symptoms.same.transmission.same","all","two.weeks",836,-6258.28114769586,6.06394565332156,0.00105497155122216,3.0902189193457e-05,0.00752466425706588,0.647212860634247,233.587881660876,0.0258909703641569,51.4504347722787,0.0447742968777119,0.135910467759985,0.123772663587184,0.949497783815752,0.395781777756377,0.715724947786597,0.0151552277639409,1.60911586555553,0.120694744226203,0.110067672742497,0.0218778721946079,0.0132131749764964,0.0056925269345802,0.0177627606474929,0.00100863655938614,0.0444391259977841,0.0327851070970965,0.467268538814133,0.285884584035926
"US","waning.diff.protection.same.symptoms.same.transmission.same","all","two.weeks",805,-6181.15718914303,14.0641398242127,0.0346199270158977,0.00082816454402815,0.00106477716043971,0.854919922997421,170.732731506388,0.359316349793028,63.9540936448392,0.986170870294523,0.0727025142553955,0.136135481359939,0.983639680759275,0.224418765216207,0.407536288845763,0.000133798991574839,1.50922885394881,0.135350116876156,0.3061131355269,0.00660657574258019,0.0104987050646922,0.034035262201995,0.0329758471571779,0.0147228383619368,0.0279509771410813,0.0061013468871991,0.413445473797526,0.147549838118912
"US","waning.diff.protection.same.symptoms.same.transmission.same","all","two.weeks",1124,-6141.29902605749,1.25210933143763,0.0129554999143585,0.00295041229402165,0.0113369717807933,0.998077859363285,22.2889741322595,0.109089141037026,197.952018716749,0.0302679897329223,0.111818111227176,0.0857537611343131,0.0467871052647047,0.803819585238901,0.62232497737902,0.0079518189151461,1.52612247711513,0.371922822388553,0.0268413996314904,0.0942875957184659,0.0923459223024853,0.0451074574153627,0.000944755304783934,0.0313998095115258,0.12397232173752,0.020121451743398,0.0726810496746523,0.492298236960316
"US","waning.diff.protection.same.symptoms.same.transmission.same","all","two.weeks",1219,-6185.74446137031,0.991356709387187,0.000427091352662701,0.000114283338908856,0.000583087587764706,0.394284499673756,96.9065624072602,0.628213598028832,8.57199023533966,0.0117752738269406,0.207737572940815,0.0577222504210014,0.661182580055888,0.19200619613846,0.471323957775079,0.0719301472140362,1.69820775191066,0.39321544941968,0.00503468240665018,0.0904130830322914,0.0444841967315888,0.157041064743737,0.15219095064698,0.0185548411275707,0.101285053918396,0.0769076077207567,0.0970656357752151,0.257022883896815
"US","waning.diff.protection.same.symptoms.same.transmission.same","all","two.weeks",734,-6067.87319969313,12.9226642899512,0.0184325280856643,0.00143201318626003,0.000545509570171402,0.213740782732572,41.5641204842521,0.610308453191935,82.1113128770105,0.0381034442998732,0.0729277286478155,0.115552787935267,0.00440381924910923,0.0114966978818481,0.980329623208218,0.00459103939216106,1.66793840459776,0.270825573887573,0.0518736019125901,0.0189046488807925,0.0411169107537733,0.0797119328062358,0.00786475204251483,0.055183563333907,0.0564073598631175,0.0186776520567253,0.0340803929249332,0.63617918542541
"US","waning.diff.protection.same.symptoms.same.transmission.same","all","two.weeks",1008,-6169.74783988285,5.58372833808573,0.00987375022434432,0.00173714775729505,0.000368393346345193,0.234815328401098,36.6803370406306,0.0670258765094941,157.772978725715,0.0225865788006431,0.110939532773673,0.161701156795659,0.823389745825751,0.252910050824954,0.675710801048758,0.00915166530897204,1.51940269646454,0.101968046169934,0.118468960125777,0.0500161766256128,0.0161199730139211,0.000507050187165942,0.0110131607332939,0.012680015638045,0.036318043971821,0.0531547478524129,0.157154729501839,0.544567142350111
"US","waning.diff.protection.same.symptoms.same.transmission.same","all","two.weeks",1518,-6055.46352495022,37.7634457613817,0.000316723924040316,0.00011674746868326,0.000204707200015646,0.424244769122629,148.526189732811,0.204445039311389,14.6766374336619,0.00863677324781154,0.163958918037316,0.210359693670832,0.989762587949361,0.0760238748144544,0.720281857950687,0.13482821531166,1.8025201943305,0.28699422094312,0.100836890745993,3.97391084520574e-05,0.0334142737543958,0.0441073950792025,0.003984179859511,0.00668655071712921,0.0346578993783473,0.0408993907633468,0.289636142615052,0.44573753797857
"US","waning.diff.protection.same.symptoms.same.transmission.same","all","two.weeks",1180,-6201.00637572446,7.03969751732562,0.00852459980246413,0.000181356820192052,0.000390135510641048,0.616250626672716,361.468220386479,0.127841951887056,1.07535312573893,0.777294193701193,0.0882114772460729,0.175393137554959,0.510087409752068,0.332021083169233,0.603279766712824,0.000654332533496487,1.57047310529783,0.149509430917283,0.0679306196234521,0.0288393377239923,0.00860781777360219,0.0162647167678623,0.0261108189202829,0.0387572070362066,0.0324309385218156,0.0059789131090992,0.487268285249105,0.287811345274582
"US","waning.diff.protection.same.symptoms.same.transmission.same","all","two.weeks",1641,-6122.32731305847,1.8480028529411,0.00203853208144687,0.00173951578393216,0.000619766492521283,0.565467389834026,45.5702755113678,0.712735436567615,7.10414512109595,0.00502824140548891,0.10577978667906,0.110023359625695,0.544489751608271,0.0315000322838682,0.811775389412053,0.0691094369369085,1.73961637990276,0.27347464054253,0.0734670353073046,0.0707509651406736,0.00450283928520027,0.0470512407379498,0.00744910526302862,0.0896051592252715,0.0409397561063928,0.0160949622912263,0.324215565965706,0.325923370677247
