"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vn_wane_rate","V_wane_rate","Vn_fail_rate","Vn_symptom_mod","Vwp_fail_rate","V_symptom_mod","Vap_fail_rate","naive_symptom_rate","beta0","beta1","beta_mod_An","beta_mod_Av","beta_mod_A","rho","sigmaSE","lag","S_0","E_0","En_0","Ev_0","I_0","A_0","An_0","Av_0","Vn_0","Vwp_0"
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",285,-6090.46693714317,33.3454727358258,0.0105421669673969,0.0136744041101068,0.409287402848258,26.7828976808838,0.130302274330722,74.950550523197,0.533726611073146,0.00330885425781764,0.303099160995535,0.101678331505083,0.735446118419997,0.301111373173809,0.199277347363629,0.0312362211752478,1.58313570853386,0.983177101094811,0.0745581553539998,0.0017019124161724,0.00414953161879766,0.0126779925395149,0.0163433667998528,0.0136510862823776,0.0336753317793477,0.050004361808031,0.342477521281824,0.450760740120082
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",820,-6049.41766247125,4.58561694154777,0.04773543377435,0.000215769399206867,0.588537065064143,50.6274747837092,0.0718183926717418,12.5194176152121,0.042796303644715,0.026192548058391,0.217790664267667,0.0505777013324564,0.0292873868278306,0.110049071117812,0.364055630840015,0.00288619177955535,1.58176598012692,0.345924887744187,0.199222293162545,0.00281446629464102,0.0181054551557871,0.0675438360942475,0.0214192027707267,0.0622823414203499,0.0339024582609192,0.0244397038850474,0.238819770091208,0.331450472864528
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",368,-6135.65153508287,3.53701338615863,0.00781300916860213,0.00032149007785582,0.256820466004791,166.769757135948,0.989484780638906,133.653408339657,0.285732408689752,0.00212852425446743,0.074001185641243,0.0489514249414902,0.527910420632185,0.684878433066913,0.958380650798728,0.175555278210077,1.53711334297281,0.221087049687485,0.0499731226190187,0.0465423121978046,0.0187064242543596,0.0269819750036519,0.00264720834905239,0.0213679384455248,0.0289409390793124,0.0503158009039256,0.505760683464848,0.248763595682502
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",1054,-6063.23408942243,0.951285755033207,0.00562084324690394,0.000513964072246662,0.0613264478550028,62.4783430017426,0.939053603528128,161.977104869927,0.419529280651634,0.880059812113361,0.0836207283713446,0.226437100119106,0.410918244664433,0.727856816514269,0.863216594975123,0.000262136087073685,1.84337795430557,0.261765940955996,0.0671639075506167,0.0251083929844797,0.0239540673445363,0.0358354347711115,0.0399851641917208,0.00697857814976509,0.00745079008053708,0.0111146362656749,0.355636193041942,0.426772835619616
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",53,-6032.73655643001,5.00720090771659,0.0191516987774545,0.000442346395911735,0.587936577378948,166.143637505902,0.466529920346652,22.1197229807699,0.577702094566368,0.00395480783032101,0.0776349321481335,0.0888127932567199,0.839941398572299,0.723597365855032,0.983964388499172,0.0296973262195432,1.60710521513735,0.394298018475802,0.372790624157425,0.00540410288071292,0.0302390118964417,0.00966883398487444,0.00182447829679278,0.00530092820306836,0.0100943577110156,0.0177607451817676,0.272667648220471,0.274249269467431
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",796,-6063.06414067828,6.09713529610382,0.00274788037225728,0.000175006205096212,0.878545480789787,383.434647202056,0.41157058965369,36.4975802699348,0.220648656562682,0.0017020991527618,0.0740962760659554,0.120732477620169,0.920078398552572,0.59021865546645,0.968596077684224,0.138007871279572,1.76491934415925,0.363266292740158,0.318433912180726,0.00284482997006135,0.034135099548928,0.0168124884857012,0.018706412866973,0.00305840819314805,0.038447147159074,0.0133200538459599,0.36112850645981,0.193113141289618
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",1657,-6079.18388761063,1.27593764015206,0.000863994186197408,0.000867718022802147,0.965924471029512,393.941737613613,0.98144432372673,285.094071163876,0.981246263627954,0.645473409651695,0.0897897296672919,0.170913239602435,0.930371405234672,0.893928388429774,0.2469255820308,0.00103130294264348,1.72656900305698,0.322103517811561,0.0361733747169641,0.0172411583140391,0.0258563026133237,0.00238291243130635,0.022160400318375,0.00172698501304727,0.0356174266023165,0.0207989498437025,0.180364535035474,0.657677955111452
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",456,-6095.85520146225,1.55311024901107,0.0120514138156738,0.000920714053565104,0.784258795886805,24.842541309308,0.255242277320103,0.65891514385802,0.712396775711683,0.171436356533005,0.0970587246591523,0.0548780906742479,0.510439338764744,0.491514831006978,0.808616931560581,0.00064722211636666,1.82666469949319,0.9861577360759,0.311567286335645,0.018897686090948,0.0147667854813262,0.0271857895536123,0.0315935342334734,0.0447880889544576,0.0256533689893982,0.0140046648412464,0.0750928983313134,0.436449897188579
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",650,-6164.05868102038,12.285544135222,0.000695951698145746,0.000498153272528455,0.771928555784227,68.3301784984989,0.160241439364534,21.7559851886915,0.0334854907527695,0.721538191691405,0.0871668918377361,0.0205831339730222,0.86522410900147,0.894989400327471,0.540160334102577,0.00129035373515022,1.96060999981893,0.290168520540571,0.0729641539722496,0.016873859568477,0.0622858673127287,0.0389839960382871,0.000245440468604898,0.023556882328482,0.0225107184963683,0.0316999494638002,0.063039856245961,0.667839276105041
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",229,-6048.30637562632,3.43459775045338,0.00114418377844676,0.00176570283233082,0.724678571995577,25.5058046842705,0.414440188971032,25.0630727245448,0.125103143683194,0.000587247422371433,0.106975371251733,0.151848384097934,0.825888394025664,0.857933398784292,0.639125836257981,0.812180533158467,1.77889482685189,0.193803784488807,0.0107533148499135,0.0341596840200808,0.0473060918547855,0.0274979353711111,0.0269283083325676,0.00934023072392997,0.00199751137328868,0.0180223211147343,0.49669291034208,0.327301692017508
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",994,-6333.64272555849,6.50469248173365,0.00578411999248562,0.000468919360061256,0.632996185584963,69.538095551575,0.48462588533615,7.07371989270106,0.869940345864207,0.000399688995596831,0.0931788103785363,0.0877379020820205,0.0279415400373424,0.800100165388023,0.896855542008869,0.49084022967201,1.41971464298994,0.880058330708308,0.289260758544144,0.0555712442004835,0.030662864119138,0.0250330294360231,0.0599763582983557,0.0322822028659109,0.0549880365063475,0.0112207481060964,0.0905631342691826,0.350441623654319
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",115,-6099.48072958166,14.7872282790933,0.016942028217715,0.00105873329748452,0.064286713361961,165.700167400294,0.177952309229162,55.4932169703323,0.957068908012735,0.00323606880564934,0.331957434682856,0.103431670879641,0.201005028612659,0.443172442267868,0.240060823136462,0.056376241834955,1.85958715688495,0.136678259765683,0.0653826126698851,0.0438840205417828,0.0419383216052927,0.000675726466215061,0.0254144994518507,0.0185075916933942,0.0141210509088336,0.00316050749161661,0.447556593622877,0.339359075548252
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",212,-6069.64065065768,9.85122086146464,0.00329549015227785,8.23955014395191e-06,0.987291822669557,2.24683843291511,0.631900637106412,0.609301661790066,0.344116973874901,0.000436482029334355,0.143452813127081,0.0397926383464223,0.592958830313779,0.455629236689744,0.468024334020755,0.524748143183362,1.733682992571,0.970070825405304,0.0556302886536147,0.030394512174426,0.015452988181568,0.0294612975176128,0.0176968839580914,0.0102786900014933,0.00646356430871426,0.0164578178123885,0.42875689871113,0.389407058680961
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",1399,-6117.30731992149,8.2942241587308,0.00165988046511833,0.000493014076794559,0.714930941313645,50.6162777827277,0.216238712452759,17.3464131956199,0.923361397451255,0.024138417298353,0.345004366780135,0.164744125722783,0.333071595411949,0.258664536625834,0.173853531223239,0.0223398698538523,1.65809044895434,0.275300774056162,0.00575844373268348,0.0349931266261144,0.0219517725586601,0.0527067860509291,0.0294787355007262,0.00821964321698053,0.0573419758142306,0.0427876907106764,0.195346746155506,0.551415079633493
"US","waning.same.protection.diff.symptoms.same.transmission.same","all","two.weeks",1749,-6461.02122183097,5.84726990626503,0.0021684243269765,0.00106129560356347,0.11691058351077,94.2100853394783,0.510819798664698,16.6515707824004,0.88272005588256,0.0243555870514903,0.113251848868456,0.156980224690047,0.889369202333323,0.65527003936517,0.569992208998418,0.291466649552279,1.3551364096148,0.388050133919613,0.0576685648465636,0.0333720119290166,0.0093017320948044,0.00511521030064822,0.0134871305633332,0.0100808938907901,0.0106724423581381,0.012243127953779,0.538645307822214,0.309413578240712
