"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vn_wane_rate","Vwp_wane_rate","Vap_wane_rate","Vn_fail_rate","Vn_symptom_mod","V_fail_rate","V_symptom_mod","naive_symptom_rate","beta0","beta1","beta_mod_An","beta_mod_Awp","beta_mod_Aap","beta_mod_A","rho","sigmaSE","lag","S_0","E_0","En_0","Ewp_0","I_0","A_0","An_0","Awp_0","Vn_0","Vwp_0"
"US","waning.diff.protection.same.symptoms.same.transmission.diff","all","two.weeks",1181,-6058.24390383217,12.5519069827061,0.0100299407907462,0.00682911468264924,0.00345263672143162,0.909286690457322,34.2943072838196,0.833524412622091,7.94156159779807,0.00444627354008312,0.11388383296769,0.0288656066147299,0.122266728123437,0.87519487883174,0.202818500547934,0.725415785438183,0.0263665160960859,1.70847935372208,0.99161165549844,0.380852857191536,0.000528097100425063,0.00571718901979576,0.0340665393887795,0.0446373294422165,0.0291910210337474,0.00915476404714295,0.00541360055852081,0.357632586621402,0.132806015596435
"US","waning.diff.protection.same.symptoms.same.transmission.diff","all","two.weeks",1837,-6098.65911966241,1.42314286703798,0.00248573840708298,0.00753552089955678,0.00376476750683927,0.0720534126031589,211.328130889479,0.58091101204014,21.9706562542046,0.00248899511631256,0.0924182848182199,0.14312399536044,0.778778781261476,0.173375195191492,0.48595199516979,0.898865891841308,0.190699542489859,1.84114237145531,0.245692403272687,0.0447144999964656,0.0424317532945633,0.0425002096457061,0.00597481241399147,0.0137114599796237,0.0357285736982668,0.0284649882005679,0.0340216584251089,0.448009730825624,0.304442313520083
"US","waning.diff.protection.same.symptoms.same.transmission.diff","all","two.weeks",1422,-6063.00497851186,2.82157977236487,0.00284612682316541,0.00325352507628154,0.000252588985023695,0.882480477669035,0.0374897602655468,0.540563680724424,9.46644904596053,0.00184622087670616,0.132448278098751,0.147687753179353,0.630825358773014,0.124878755422263,0.658363991441279,0.671371850932127,0.0250636576939371,1.90931414808683,0.0383021965570395,0.349695057019477,0.0359203857352258,0.011069785625555,0.0130819137686777,0.00728762850073364,0.00274982746756835,0.0110462483474145,0.0149378629655492,0.247126869620533,0.307084420949266
"US","waning.diff.protection.same.symptoms.same.transmission.diff","all","two.weeks",1235,-6165.51790897231,27.5250644116833,0.000693682005942406,0.00200551929268622,0.00356496458777018,0.341001629810499,11.1497667326368,0.00995449379050651,6.93116828409922,0.0882941942682127,0.269756473239737,0.0686499771828276,0.64325872888553,0.992399489467447,0.421222428020332,0.180060865017028,0.0104645918030987,1.79241202710318,0.390858053413908,0.0142610487677494,0.00552173477183991,0.0288799344086002,0.0412779725695117,0.0455537345938153,0.0280905795274477,0.00096268230264855,0.0204053429055805,0.348928371442859,0.466118598709947
"US","waning.diff.protection.same.symptoms.same.transmission.diff","all","two.weeks",19,-6150.45698461178,4.58500295494308,0.00170273350098153,0.00227222494371486,0.0011840139454597,0.659844960826555,3.33152578575899,0.376725563328284,25.0302703276921,0.0109122171780409,0.0852111382740006,0.0340966161567078,0.822966461043245,0.878367231088492,0.377237227385264,0.94753506304675,0.0305109832065392,1.59518592308893,0.20203132601985,0.0493797680857412,0.0337562812513049,0.0405688147015339,0.0495068784252997,0.0179350995388424,0.0595718548875242,0.0374647491251989,0.0117390449781607,0.496169942436705,0.203907566569689
"US","waning.diff.protection.same.symptoms.same.transmission.diff","all","two.weeks",660,-6222.59527797334,14.3085002764847,0.0126612507490352,0.000644005184040087,6.48577862238941e-05,0.736057278313696,2.44901676427054,0.0769465942883013,160.469901192003,0.207818767561941,0.246421144567851,0.107058810412197,0.109652316520023,0.0417824042345326,0.655354330890509,0.15095797614939,0.0010238208931047,1.42712377165613,0.196408184193016,0.370900761274626,0.0174247037673701,0.019978508762078,0.0159469578005159,0.0283937336728258,0.0221608008635126,0.000714512858571976,0.0127910146079231,0.348678659242568,0.163010347150009
"US","waning.diff.protection.same.symptoms.same.transmission.diff","all","two.weeks",1245,-6092.58382274036,1.19618883557274,0.00513840314289599,0.00326333812612036,0.00103642117875821,0.865473152128412,8.26816112691482,0.138513463796934,2.28258288112869,0.0408723141600096,0.0824583808518953,0.184513158353306,0.225283557172963,0.232266381216404,0.258285330718832,0.961610036563443,0.00768980836097133,1.61569118972955,0.301938782951556,0.0761740633697961,0.0247442012437343,0.0391440393722257,0.0164340031157722,0.0122409114609231,0.0371012462276881,0.0338243493670228,0.0177255268233323,0.38855533906468,0.354056319954825
"US","waning.diff.protection.same.symptoms.same.transmission.diff","all","two.weeks",624,-6337.35630158576,35.1304032378219,0.00121249297150932,0.000236295962702186,0.000294729470346254,0.618032974997003,16.053486184715,0.604997131849414,196.302962476511,0.0586817189445521,0.141492778561538,0.0576068843064284,0.893245392813054,0.0546588571455831,0.289974736840985,0.43810053576429,0.00551608786487364,1.49457850848298,0.046799508171544,0.177942395334249,0.068416345441028,0.0780140592892642,0.0735326274166744,0.0602756376062477,0.0542718452203368,0.0632599766062306,0.0486809552753568,0.178498208671282,0.197107949139331
"US","waning.diff.protection.same.symptoms.same.transmission.diff","all","two.weeks",985,-6081.75287558106,2.25075667584338,0.015566937944044,0.000292514980438637,0.000135851907059497,0.205151061726482,17.0066655505965,0.988199381070448,45.5827780362357,0.00543341091824054,0.30147921173367,0.0506549161491724,0.207321773887023,0.00379128621022271,0.333658579181993,0.278946109862579,0.0155145759129626,1.90223583698643,0.0293630564506345,0.37470554975676,0.0282622698011897,0.00638122866192379,0.00793183043103691,0.00891839546198625,0.0248094323845803,0.0296125272757893,0.0108799569568651,0.272862197821142,0.235636611448726
"US","waning.diff.protection.same.symptoms.same.transmission.diff","all","two.weeks",982,-6225.24860691075,11.4878870110136,4.35331995395455e-05,8.08974877915718e-05,0.000538335409678808,0.127451654118178,5.03685144913632,0.770355325795198,685.881993995512,0.970298941698309,0.70772495662631,0.139055501574936,0.0495315131325932,0.788160603154529,0.442306696380756,0.801140722857651,2.23967462354975e-05,2.11679396001201,0.224731347618568,0.0308869290237994,0.0128222871854413,0.0295731192264322,0.0333830570981538,0.0141300507730772,0.029051264077761,0.0497920953695979,0.0493718145667901,0.347265540611527,0.40372384206742
