"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vn_wane_rate","V_wane_rate","Vn_fail_rate","Vn_symptom_mod","V_fail_rate","Vwp_symptom_mod","Vap_symptom_mod","naive_symptom_rate","beta0","beta1","beta_mod_An","beta_mod_Av","beta_mod_A","rho","sigmaSE","lag","S_0","E_0","En_0","Ewp_0","I_0","A_0","An_0","Av_0","Vn_0","Vwp_0"
"US","waning.same.protection.same.symptoms.diff.transmission.same","all","two.weeks",1,-6543.08834095661,41.3062941921468,0.000476065476930697,0.00180611714479021,0.801938841822371,8.66295855443096,0.428177328190242,64.6136834820908,97.0284037340252,0.43734643669733,0.148434984552207,0.708251038794248,0.94112177675761,0.991602141627004,0.42354214036743,0.0063455718028916,3.90826983964559,0.00330212302711548,0.381910488609019,0.059386133237862,0.00628111439817852,0.0435417118582365,0.0205886860808325,0.0629583876538778,0.011759801336834,0.0464308217306725,0.0169106700219175,0.35023218507257
"US","waning.same.protection.same.symptoms.diff.transmission.same","all","two.weeks",2,-6747.48634222764,2.45477955152021,0.000243897780034734,0.000507267000522049,0.596997598316991,14.1092312669553,0.0166771285049225,4.07390078057621,28.7899940980712,0.0110761239130819,0.525995387193663,0.871441170722816,0.217538733926415,0.361886652216201,0.910753980305999,0.130188839304177,4.51548200410348,0.0114634277369986,0.0769718135067898,0.0377166852116997,0.0611253159525274,0.0172750141808277,0.0916800091855921,0.051159802473929,0.0740459495265867,0.0256623254480174,0.556597620880236,0.00776546363379404
"US","waning.same.protection.same.symptoms.diff.transmission.same","all","two.weeks",3,-36689.2712266782,0.211131266969069,0.00070357589400329,0.000413730450898115,0.0679151577164422,103.892158235203,0.189702506032705,31.1103343305913,5.18116785857216,0.000162496777147696,0.0432427818106868,0.920108315588252,0.668794031881967,0.477945262986694,0.151585272996639,0.156013376726614,0.458451655157936,0.136653180134095,0.232692950360403,0.0417301439349975,0.0616071425030272,0.0646462423769768,0.0373079924035223,0.0510322766187297,0.0638088797360685,0.07157770295822,0.196442322904568,0.179154346203487
"US","waning.same.protection.same.symptoms.diff.transmission.same","all","two.weeks",4,-6573.91966670963,14.954441626688,0.000265780787757401,0.000451911707634016,0.353245013435234,49.9608578175868,0.792617933759624,466.943155531227,62.4625118769981,0.034712915560497,0.150241539539756,0.199416274323261,0.443192713645017,0.514588141173405,0.572300298553677,0.06008006802656,1.50194903997133,0.0570687841576778,0.329789454704243,0.00414805119806359,0.0137015580913731,0.0152483591302172,0.00250561421063532,0.00771391576975428,0.0169473323239661,0.0184871921704907,0.300306840510182,0.291151681891075
"US","waning.same.protection.same.symptoms.diff.transmission.same","all","two.weeks",5,-7138.93648155199,59.601492100147,0.00116714532383065,0.0176473007012442,0.365627182348263,1555.89071276861,0.317661232989972,17.3415011101728,146.10901256478,0.383332418910265,0.0903141898814692,0.136190948085813,0.870243625880192,0.444802519307345,0.581827184521904,0.423074935760223,1.32430001900369,0.219049273341543,0.192320180617632,0.0701491229177992,0.0459242960588478,0.0268891036269333,0.0655115914018505,0.0297345542512592,0.0510535540589831,0.033790126884188,0.133233353409919,0.351394116772587
"US","waning.same.protection.same.symptoms.diff.transmission.same","all","two.weeks",6,-8060.49135867426,673.637720369356,0.000315564090932574,0.000475083278349559,0.897519812891887,1.63945015837544,0.991034445808763,10.0754353991331,39.5955974286053,0.984788465781251,0.0689893972994074,0.211873883702541,0.15753630473298,0.535121189009496,0.813027898611782,0.871577369720604,1.43277426033847,0.265924526365188,0.262570280677491,0.00862521503485275,0.0364233615395435,0.0310732288496436,0.00723995601679812,0.0302395756383647,0.00176755631855106,0.0328967758295725,0.237095222238745,0.352068827856437
"US","waning.same.protection.same.symptoms.diff.transmission.same","all","two.weeks",7,-36639.7729837322,0.474833697041803,0.000138296991047509,0.00286821174424647,0.660806651637514,324.463206886815,0.150889398917123,47.0883211814883,33.2282001076766,0.000525443828351569,0.0386650601489025,0.783266226865034,0.859057426771212,0.177315003465858,0.530093907408033,0.182081913205678,0.0644035614420853,0.154900976983429,0.416805490734376,0.0440937416776646,0.0311593692048012,0.00167978998108432,0.0187419267719507,0.00331993620306264,0.0129592882362936,0.0051660028749691,0.192219033068105,0.273855421247693
"US","waning.same.protection.same.symptoms.diff.transmission.same","all","two.weeks",8,-6742.92770337218,1.17724341510744,0.000615684431098263,0.00833206475809434,0.282471866252349,42.3755774553853,0.516627025250294,30.9065777342639,20.1604900467925,0.922678369533545,0.0699672803521796,0.0879742116919947,0.333761320595571,0.103098778480813,0.764342255839554,0.282944617398788,1.56169945354099,0.0160601166974716,0.244122728890045,0.0269055430263254,0.0114976620665752,0.0286883341090861,0.0493189921376087,0.0309778829651755,0.040382716523694,0.0310926713690076,0.47186669908894,0.0651467698235417
"US","waning.same.protection.same.symptoms.diff.transmission.same","all","two.weeks",9,-36684.8538457187,0.477312465052831,0.0027279543554321,0.000497760669490343,0.125105530726833,1.52372919576343,0.0441062477518605,125.88723587511,137.398912920381,0.000525010798699349,0.00486705792148225,0.988390074649899,0.17260435124753,0.0435185781983306,0.930170559083045,0.443398787198833,0.38516372424939,0.00785761362939799,0.247360883803493,0.0357341891047997,0.0013224883479337,0.0204896729397402,0.0262051617533831,0.0275919045340218,0.0101106736336776,0.0398288534729942,0.19222584619109,0.399130326218867
"US","waning.same.protection.same.symptoms.diff.transmission.same","all","two.weeks",10,-31565.7237012713,0.138236084691942,0.000236742257791949,0.00609013105239357,0.0110239874146249,101.650985723171,0.589344558103218,4.32136822346815,64.2766921681773,0.217507301318153,10.1785838242186,0.312451968598212,0.966409384208796,0.229731455340198,0.20681812389114,0.00506354201572634,0.0202538491940875,0.01786537407595,0.0722083047737467,0.0157374012180256,0.0291746018855184,0.0537402097880386,0.00704678999889105,0.00764183516446957,0.044637742552877,0.0243063839301366,0.496561227242188,0.248945503446109
"US","waning.same.protection.same.symptoms.diff.transmission.same","all","two.weeks",11,-6924.72668413625,0.948373217869211,1.49281905154065e-05,0.000391512840269551,0.460513324645516,72.7755402955119,0.896286155700036,88.4425403811978,6.46501658690597,0.0727078876554592,2.93119844630667,0.281669029391293,0.00436642920874891,0.966960625551008,0.30141590068278,0.234403204245251,5.9694088724014,0.00627347809724008,0.311433611064132,0.0431475769607945,0.0633880710066994,0.0177837378130097,0.0338015494166094,0.0739177843651057,0.0795316530400928,0.0580641838587286,0.173644152668339,0.14528767980649
