"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vn_wane_rate","V_wane_rate","Vn_fail_rate","Vn_symptom_mod","V_fail_rate","Vwp_symptom_mod","Vap_symptom_mod","naive_symptom_rate","beta0","beta1","beta_mod_An","beta_mod_Awp","beta_mod_Aap","beta_mod_A","rho","sigmaSE","lag","S_0","E_0","En_0","Ewp_0","I_0","A_0","An_0","Awp_0","Vn_0","Vwp_0"
"US","waning.same.protection.same.symptoms.diff.transmission.diff","all","two.weeks",1,-36676.6867513631,3.10027599128008,0.00369783233163696,0.00257075219190552,0.541940233684062,135.167326729304,0.118270007252186,28.5698207590771,203.300122430618,0.0183964456466793,0.000491337975923287,0.859498513396406,0.989012190455169,0.893695747879716,0.181354945626612,0.0703977603310737,0.297375034507163,0.795300233645348,0.00820926507085675,0.477846393883132,0.00485651134111104,0.0332992500689187,0.0163202554724717,0.0481437866048433,0.00912969325189932,0.037761166028399,0.00131712893972543,0.253774652689142,0.117551161720358
"US","waning.same.protection.same.symptoms.diff.transmission.diff","all","two.weeks",2,-6319.55787927566,13.291771160853,0.00249596462909099,0.000197257477874347,0.153552409693784,341.292326820645,0.121962371580116,4.46526666232421,120.057048746087,0.0706137258722469,0.27762019557106,0.223343879473927,0.647097062308468,0.199192935553242,0.895967614787351,0.314476328722191,0.00798632109653494,1.88427490673726,0.00343059450308032,0.24550229518722,0.0403539210237946,0.0120170447353409,0.0554926348912708,0.0286212192115551,0.0451531713895798,0.0170143537283157,0.035294736927064,0.00498281803531266,0.515567804870546
"US","waning.same.protection.same.symptoms.diff.transmission.diff","all","two.weeks",3,-36662.1445604904,0.557100457687348,0.00177434760064585,0.000905788292166013,0.0498410010820892,189.66748299398,0.6361317020942,14.1953685643188,3.01506771922414,0.00131379122341017,0.00358667506128123,0.356968233998063,0.788045834442737,0.155707950286084,0.183647256271144,0.943185659283184,0.85106419453211,0.703975816016957,0.0794456094847168,0.264762773741308,0.0346645171947787,0.0380894637306054,0.0241420856294786,0.0272124340254631,0.040737583552187,0.0427233762724158,0.0122385051157335,0.104220057267873,0.411209203470157
"US","waning.same.protection.same.symptoms.diff.transmission.diff","all","two.weeks",4,-6584.4002653866,8.5289664369333,0.00105592435894222,0.00594091340848879,0.514861464741461,274.540272491288,0.933766489911403,179.473429637606,62.2838253228791,0.17833147480572,0.143229265316287,0.149153804089689,0.14092633979227,0.408012578623281,0.382567961071096,0.399776154403353,0.851309542366561,1.80506082301536,0.0174129952179359,0.0682447755968964,0.022643635411532,0.0266367620587168,0.00393347245526834,0.0132999109113057,0.0280401619814492,0.0312047064952641,0.0499676004191684,0.487517350777493,0.268511623892906
"US","waning.same.protection.same.symptoms.diff.transmission.diff","all","two.weeks",5,-31978.0229878105,8.22022786692729,0.00664035442181793,0.00458046687058907,0.533639561201916,33.9404162360868,0.518691242781514,81.0535450564268,31.7964840448534,0.00348080275646118,0.22644695555658,0.0943661097700888,0.523950712389448,0.466365468285089,0.119057610620647,0.601316835296122,0.0142207175255798,0.02742443294506,0.431088010330769,0.404861576207762,0.0260921534402447,0.0159055836283751,0.0395746837317979,0.0184798316296564,0.0318515613422817,0.0208517062404022,0.00886774407957798,0.230325229114203,0.2031899305857
"US","waning.same.protection.same.symptoms.diff.transmission.diff","all","two.weeks",6,-8778.82983457215,299.40858373657,0.000642960493813207,0.00282504258148151,0.936318568062921,3.21744133811593,0.970629376731627,23.1927332508459,87.3344914212934,0.987338578867642,0.0665208003482713,0.199109603290708,0.148552919886947,0.70886540460159,0.875527040893881,0.965830788050235,0.877323388211218,1.29813453179046,0.135138150999605,0.0959072015659693,0.0409868096143724,0.0351620256022968,0.00770132536176073,0.0343042047790669,0.00188529815591877,0.038005855656046,0.0282318762468139,0.358279287657559,0.359536115360196
"US","waning.same.protection.same.symptoms.diff.transmission.diff","all","two.weeks",7,-7464.2235545982,31.0915296248747,0.00161306458628613,0.00278067769042156,0.685116805743298,1080.07719230789,0.444915685445486,13.8724721543507,15.6186198680149,0.0349834619980683,0.17620911979097,0.783991285284042,0.694206459200353,0.859600778041598,0.148855365460553,0.742126680754074,0.00567308269248813,3.32938007528433,0.263082367251771,0.409437705881905,0.0298720858655439,0.00155825491538657,0.0194505668028328,0.00275468129923654,0.0119316934885047,0.00480624085541568,0.0162265504386889,0.252780059625655,0.251182160826831
"US","waning.same.protection.same.symptoms.diff.transmission.diff","all","two.weeks",8,-36672.5397749562,0.17363125152976,0.000781142626821578,0.00606681530913331,0.20775311909928,15.3413178471233,0.0997867614134659,121.902653921698,164.747987782464,0.070948926949353,0.0460351977391994,0.0443895796305817,0.0920124064594093,0.110681832604939,0.764465414834734,0.0113697039259041,0.953268755819524,0.00846466917583331,0.281401270384561,0.398303374462358,0.0195563986597329,0.0462938280830806,0.084597389193169,0.0463344483202389,0.0701590401953154,0.0536159356313409,0.0814623624387135,0.11481170005872,0.0848655229573314
"US","waning.same.protection.same.symptoms.diff.transmission.diff","all","two.weeks",9,-6684.25867661944,0.716764505569071,0.00391979893066316,0.000660482916250031,0.251226298375434,9.06648995829571,0.0105006279954221,51.0212389472645,136.892319983194,0.0364197741476337,0.16363504846558,0.352686152001459,0.132801614822316,0.0249301810756708,0.482033984049596,0.429697180004959,0.235325782956178,1.68507922008375,0.00697583190785131,0.288681109144259,0.00116121190194874,0.0178413590611457,0.0225382327536996,0.0231760327773278,0.00813397269209068,0.033938272809253,0.0169287745669687,0.380979124731781,0.206621909561526
"US","waning.same.protection.same.symptoms.diff.transmission.diff","all","two.weeks",10,-13766.5750764892,322.925875135103,0.000165381137359307,0.000130399383545588,0.00525764315243522,19.682466752511,0.371769852792323,0.919809198744825,68.6806186541189,0.433639541064169,3.51844069342829,0.176852747561253,0.951046667946099,0.449735517581908,0.612670504305851,0.0602265440845782,0.00283300810866326,0.901935320194283,0.00193298801870338,0.241316734559087,0.0463314249254009,0.0813171177998764,0.0110794726362736,0.0116300522414605,0.0605034076479603,0.036564405419182,0.0781433083313371,0.407803203797308,0.0253108726421142
