"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vn_wane_rate","Vwp_wane_rate","Vap_wane_rate","Vn_fail_rate","Vn_symptom_mod","V_fail_rate","Vwp_symptom_mod","Vap_symptom_mod","naive_symptom_rate","beta0","beta1","beta_mod_An","beta_mod_Av","beta_mod_A","rho","sigmaSE","lag","S_0","E_0","En_0","Ewp_0","I_0","A_0","An_0","Av_0","Vn_0","Vwp_0"
"US","waning.diff.protection.same.symptoms.diff.transmission.same","all","two.weeks",1,-33337.9411655716,1.23440087896021,0.00574651610581854,0.000202764701698,0.000417823789826453,0.704858755281067,77.9606102792456,0.399292803805367,496.634849571943,61.3618053163949,0.0122088451941321,0.73852679697331,0.963672552988135,0.932460897893699,0.262026732039655,0.00557069662497447,0.0255671802138879,0.0775792976005671,0.0293305822800692,0.477085563745552,0.00496287579737996,0.0346594932904945,0.0164758379193416,0.0501038594848121,0.00905174986394906,0.037094486482196,0.00133862841877798,0.26010818653835,0.109119318459147
"US","waning.diff.protection.same.symptoms.diff.transmission.same","all","two.weeks",2,-6702.3504558123,24.1187528860595,0.000461426854452012,0.000134427709606253,0.00562187442231915,0.0574097600962897,37.3403930446405,0.330879681980931,49.7750423312948,132.975100056384,0.266936378194753,0.209210988600731,0.0864688664454671,0.210933846226102,0.283729472348481,0.213348384669177,0.0243132597389011,1.60002620004482,0.00877307540356924,0.236054744409105,0.0395360175204406,0.0110959055750508,0.0645429041071543,0.030887793507271,0.0436524241111504,0.0178167794290926,0.0366311036498648,0.0050690762207719,0.514713251470098
"US","waning.diff.protection.same.symptoms.diff.transmission.same","all","two.weeks",3,-35552.6737189158,15.2144039357117,8.17810217560112e-05,0.0145049503282288,0.000992497680921581,0.974915826799442,100.551150582465,0.976875234493693,22.370574670063,21.079565030923,3.11846660162595e-05,0.0118862573559695,0.925563773516331,0.192078673919422,0.0140316752660277,0.711977797626639,0.881972257358831,16.5847166921343,0.0559285159542727,0.258102981461802,0.0382636963455273,0.0382018707935257,0.0248715165735864,0.0297189887948384,0.0382517557014893,0.0410738536717166,0.0107902118821165,0.112634509366348,0.40809061540905
"US","waning.diff.protection.same.symptoms.diff.transmission.same","all","two.weeks",4,-7038.33674813675,3.84579362751422,0.00471661324030821,0.00583790681262215,0.00373875455005079,0.179985140412047,8.08096400601318,0.605865215663378,25.37503226965,14.8422861347587,0.370110841630803,0.127004785850049,0.0832111769957204,0.619051925168283,0.563658649801714,0.264222561562921,0.317653905712494,1.47530273121263,0.136866915162629,0.0648238511337843,0.0219295652732307,0.0253321319947527,0.0042723605346842,0.0132916517118493,0.026874549334601,0.0308947503029327,0.0485695961133754,0.465728366160756,0.298283177440034
"US","waning.diff.protection.same.symptoms.diff.transmission.same","all","two.weeks",5,-6689.9889960697,11.4383246849495,0.00662088994546233,0.00453467848025754,0.00384580362252421,0.74703596179584,185.418314231888,0.648810064741512,11.6686325574541,34.5565028572624,0.0281285156780761,0.467976246696043,0.930876913419393,0.585142345826301,0.453966749287055,0.58552667087638,0.00595998059082602,4.27710318695213,0.257718181248141,0.392063061736717,0.027430455171234,0.0173223668187807,0.0384275674227133,0.0190064181908751,0.0328616780940794,0.021020350033693,0.00836766113235075,0.226451382747296,0.217049058652261
"US","waning.diff.protection.same.symptoms.diff.transmission.same","all","two.weeks",6,-6751.43133692876,53.3794227100667,7.05634331224209e-06,0.000920768386259902,0.000383574228840195,0.00277854360976298,201.025828649725,0.848536920133623,50.6244120512151,57.4949127089473,0.838298069187798,0.167430308745996,0.108729034282946,0.467035643877487,0.987298528395302,0.905519137061954,0.9534368438571,5.67389043915267,0.906614616817714,0.0964973872661423,0.0399506963335608,0.0339977330388033,0.00828546402989159,0.0344297059867264,0.00181392561582563,0.0356732389469073,0.0298786698084437,0.368436798538415,0.351036380435284
"US","waning.diff.protection.same.symptoms.diff.transmission.same","all","two.weeks",7,-31204.4805300004,11.1741882922705,0.0004352056686919,0.000631500543974593,0.00205774086686655,0.88219110305218,12.4733484999365,0.0267188800671382,44.6177525123496,64.2594296959638,0.013666740569514,3.48877438552639,0.240680989371737,0.643220056333915,0.212722708213189,0.759421857223127,0.703361649405372,0.0334877692300789,0.856678598080464,0.39292018849769,0.0308776550230271,0.00164062509848614,0.0173342773452278,0.00300884258555934,0.0124931253675562,0.00464153911958608,0.0162132761902637,0.269512038892704,0.2513584318799
"US","waning.diff.protection.same.symptoms.diff.transmission.same","all","two.weeks",8,-36670.6464481572,0.689650313597533,0.0013757969407166,0.000702029783982499,0.00217255948876812,0.117235999626014,5.28895426667508,0.148285403667905,54.3154096629901,68.6792546237904,0.00144940555153722,0.00351015079729031,0.354772340354137,0.243944585223651,0.386655528606327,0.0284651454037778,0.965147403683889,0.00218640399309657,0.290254358857844,0.421103263086787,0.0186898403872771,0.0449544494259327,0.0772419502091392,0.0501380489168012,0.066884481475921,0.0530218757648058,0.0756546069278646,0.115417510715726,0.0768939730897452
"US","waning.diff.protection.same.symptoms.diff.transmission.same","all","two.weeks",9,-6819.02368162126,15.7296446194761,0.00166342304595647,0.018845082340995,0.00569703961634085,0.0700801476144966,9.77411719989609,0.744322859388512,614.350817612456,25.7693046585402,0.486690553749201,0.071639396867109,0.121808396758544,0.259265414134206,0.815289803163069,0.870851511333941,0.768347066039904,1.60686879171952,0.743674070119344,0.312603347484753,0.00128104240393025,0.0189218907843256,0.0250125317140906,0.0254557843016345,0.00882862569812392,0.0363878563360375,0.0176899791028616,0.345037122093813,0.20878182008043
"US","waning.diff.protection.same.symptoms.diff.transmission.same","all","two.weeks",10,-36679.9643392194,0.60471431517887,0.00020887220527073,0.00711626162044718,0.00303495959381526,0.462894840211206,68.6042940085286,0.0229428180790322,78.245319592569,42.3362822002228,0.99858259109126,0.00434058991677312,0.472664617620729,0.773280319690312,0.280438328796748,0.292365016443713,0.000151076661497729,1.02560963057091,0.0913628890352513,0.265735835456902,0.0466559916332025,0.0818149200226386,0.0105408390983899,0.0116295257209823,0.0603051901038816,0.0387851668230088,0.0801442015319974,0.37801603364585,0.0263722959631466
