"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vn_wane_rate","V_wane_rate","Vn_fail_rate","Vn_symptom_mod","Vwp_fail_rate","Vwp_symptom_mod","Vap_fail_rate","Vap_symptom_mod","naive_symptom_rate","beta0","beta1","beta_mod_An","beta_mod_Av","beta_mod_A","rho","sigmaSE","lag","S_0","E_0","En_0","Ewp_0","I_0","A_0","An_0","Av_0","Vn_0","Vwp_0"
"US","waning.same.protection.diff.symptoms.diff.transmission.same","all","two.weeks",1,-36642.1212679548,0.581926902228868,0.0133397997365984,0.00172418489853889,0.647999416249748,47.3512732792916,0.524250413223049,460.506763840593,0.968795817459088,508.476049241225,0.0111813540034416,0.000904603918588893,0.578704475718829,0.930490599738161,0.247101109867801,0.0782210027578379,0.74626682878079,0.620365181775009,0.127835121753664,0.45840481887125,0.00487812096334824,0.0348210871631922,0.0160558134792437,0.0508790894563315,0.0085895321144374,0.0406152603404437,0.00130076336364882,0.263585099164183,0.120870415083922
"US","waning.same.protection.diff.symptoms.diff.transmission.same","all","two.weeks",2,-36191.992215067,1.42259346036677,0.00840556654436082,0.000204745496453816,0.184810293114812,15.5394290960752,0.0415937281882257,48.3502316520764,0.368019220705785,10.434942077637,0.876616420596161,0.0206765363327609,0.886422230052553,0.770708630266945,0.87835092769118,0.71643881097789,0.000173345565502179,6.93256985443445,0.0509494147775158,0.254126519696936,0.0410099879051084,0.0102439941612699,0.0544316967993793,0.0295371289851071,0.044943243633129,0.0169588633932662,0.035445266514632,0.00490373947871632,0.508399559432456
"US","waning.same.protection.diff.symptoms.diff.transmission.same","all","two.weeks",3,-6424.29320458752,13.6683531628119,0.000198686194615429,0.00328911259723738,0.0898982074753577,10.199180824947,0.306394206942037,93.161754908782,0.0488103632575039,29.57267338138,0.00678080638058209,0.107789995217782,0.116595442086398,0.0194500001943978,0.0141320544442434,0.924749900812655,0.296055928281533,1.64132088231224,0.026338614188928,0.252682247992416,0.0370693419062929,0.0403033495734661,0.0243778942715262,0.0300718314014363,0.0400920268416571,0.0452306621727784,0.0127855326986341,0.114417808383065,0.402969304758728
"US","waning.same.protection.diff.symptoms.diff.transmission.same","all","two.weeks",4,-36685.9976625508,0.00413595944867673,0.00141914811200055,0.00150988788776677,0.181325897549774,29.8866050927094,0.93640437883518,90.232952025385,0.283200998023916,8.55476011121955,0.0227949457371291,0.0316554406871338,0.153056670793397,0.55182753271777,0.905828460851721,0.183982350211727,0.00874506857192151,0.00233585569405074,0.562264648997112,0.0677521036265511,0.0213804188171046,0.0282123935634278,0.0041839795696033,0.0129334428420097,0.0263664118084711,0.0308735086851994,0.0479332362280564,0.474361603185928,0.286002901673649
"US","waning.same.protection.diff.symptoms.diff.transmission.same","all","two.weeks",5,-33026.7790798939,0.17806680822741,0.00947139784550968,0.00732229103107484,0.630556819206445,30.0514356004139,0.586315032340884,169.339852686304,0.97728679783125,41.1999401160916,0.0234505991322534,3.94068178618101,0.908748273496737,0.074412691476754,0.113539769824612,0.669972326142413,0.00413158763420413,0.0196439832639493,0.023258345330233,0.398837298042857,0.0271597268969116,0.0163374687135824,0.041533366398286,0.0189755022886935,0.0313021476315153,0.0235159104609746,0.00965505414341131,0.234117802467909,0.198565722955859
"US","waning.same.protection.diff.symptoms.diff.transmission.same","all","two.weeks",6,-7108.13235950379,84.5716176148178,0.000316676871985929,0.000636788512303686,0.951671256258709,6.76160777248237,0.977281554807581,375.621269803753,0.440906909011144,76.2937648965326,0.891412579802482,0.0714698488136118,0.0604991813158031,0.47830832051216,0.975293072360094,0.976860581931147,0.732634918828417,1.99809700810674,0.706166991182616,0.0947867465591226,0.0412349930564168,0.0360611005766199,0.00811279669348042,0.0360679562670302,0.00187649974728251,0.0395935367980675,0.0272901214506302,0.351145153030922,0.363831095820427
"US","waning.same.protection.diff.symptoms.diff.transmission.same","all","two.weeks",7,-32060.4604873247,3.28887949821405,0.00046532710913324,0.00160424929984967,0.829714781772414,101.828938497204,0.452996159245544,7.27009431539094,0.357768165881925,24.2895574589662,0.0546560614229801,2.76151202789914,0.205822721878752,0.766407463790111,0.397204192272956,0.371433599898158,0.161815772285978,0.0183499930062521,0.888647646962895,0.39834884172878,0.0309253429481253,0.00167705815858722,0.0194840615000944,0.00322916520407481,0.0128886105615579,0.00507595416494156,0.0174769743640255,0.267701673723179,0.243192317646634
"US","waning.same.protection.diff.symptoms.diff.transmission.same","all","two.weeks",8,-14575.9076941413,18.4054486586143,0.0049613319023648,0.00179264400923122,0.0279258515635511,36.7062640813695,0.0110332147983248,96.2909090855461,0.86394280415626,224.820833949491,0.469389270508274,0.11610421230368,0.0858910551327727,0.0615188749347646,0.781006059616344,0.145179777405057,0.97998379745511,0.00358477276063516,0.262188247747299,0.398841255051257,0.0180115743178335,0.0459823730266976,0.0800187729215659,0.0507789105954424,0.0714053478759503,0.0547129012584751,0.0818715989323716,0.117938116791449,0.0804391492289574
"US","waning.same.protection.diff.symptoms.diff.transmission.same","all","two.weeks",9,-33928.1863242444,3.39477823946448,8.99821001657195e-05,0.000569954988199984,0.149690801649275,11.9828704402285,0.0573866154004324,49.0600125352628,0.604348140305739,6.84756992069388,0.110478685737714,6.78746400913809,0.946485887622359,0.023006847693417,0.172055817999797,0.957069660192106,0.916910938373489,0.107691302295602,0.0160531234112607,0.306727695796479,0.00120042460326966,0.0195906049043931,0.025146408283851,0.0269157715118037,0.0094666188152817,0.0375563873615948,0.0176089598429733,0.366615919119256,0.189171209761097
"US","waning.same.protection.diff.symptoms.diff.transmission.same","all","two.weeks",10,-6810.97796295519,26653.9656819143,5.10763561260652e-05,0.000798081148899199,0.00682234625657871,224.497891170851,0.401378627492491,14.9493849814709,0.376439985888302,99.7820426885624,0.998553498903664,0.367034240063704,0.870957248267145,0.425821392471245,0.0793902372498969,0.35964993192643,0.0115641771423849,4.60684698303151,0.0106505770170708,0.252029698943277,0.0424654561729497,0.0804925910438728,0.0109256104524757,0.0105414374699066,0.0593015416436972,0.0355133936457061,0.0773295430395278,0.406341653332753,0.0250590742558335
