"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vn_wane_rate","V_wane_rate","Vn_fail_rate","Vn_symptom_mod","V_fail_rate","V_symptom_mod","naive_symptom_rate","beta0","beta1","beta_mod_An","beta_mod_Av","beta_mod_A","rho","sigmaSE","lag","S_0","E_0","En_0","Ev_0","I_0","A_0","An_0","Av_0","Vn_0","V_0"
"US","waning.same.protection.same.symptoms.same.transmission.same","all","two.weeks",1,-36756.165839464,0,0.00995937115955936,0.00239150001558498,0.933050008886722,135.165767869713,0.742915797129246,59.1936911488898,0.940642038953486,0.0652521583093126,0.0438725958419614,0.926126105122166,0.989436570607098,0.903467847486971,0.277047392411076,0.0128205343036009,0.25515538191469,0.252370877201774,0.0365608446354832,0.0571586724806264,0.00601039015930788,0.0440598765734619,0.0201472499169784,0.0575015712172138,0.0103625984527723,0.499426895213519,0.0164010241488627
"US","waning.same.protection.same.symptoms.same.transmission.same","all","two.weeks",2,-36653.4444938352,0.684112901108435,0.000829584381799115,0.000471514015040025,0.152536624073979,195.187584834335,0.297355864259175,130.928125540538,0.00032006404019639,0.0103032771123775,0.981513265544417,0.032042902778751,0.188507854816951,0.0924474303233411,0.847459376946808,0.529154933511985,0.00750731709293655,0.446693082344776,0.00337912513443641,0.0171976258691772,0.0299276412237823,0.00841094463615912,0.0392214398758134,0.0213117159981294,0.0365394542985726,0.125490454083835,0.271828516535319
"US","waning.same.protection.same.symptoms.same.transmission.same","all","two.weeks",3,-6382.30246840652,7.72637862904373,0.0113197895809775,0.000657661302515663,0.101273267041947,248.51246318044,0.607849287845728,10.9689007515097,0.0288745563022325,0.1044158941179,0.00963872162376553,0.058795297671759,0.912893653225544,0.694751380081252,0.0136959313269265,1.45448265684636,0.652427443111683,0.254030406651169,0.013210728359332,0.0249050666891461,0.0345383308850198,0.0395152862769848,0.0222297025671811,0.027314866463735,0.0389554113007404,0.427609407474874,0.117690793331819
"US","waning.same.protection.same.symptoms.same.transmission.same","all","two.weeks",4,-32620.8705894122,3.97527211075456,0.0284186230196381,0.000192045609825416,0.801120358158042,139.233347696415,0.853374938799959,38.6724296180778,0.00142358835215091,0.305847465181228,0.503722888251748,0.909453261334908,0.109641226347953,0.703039274634906,0.0218507945267668,0.1374482711679,0.0776989716179255,0.081076423439117,0.0476018701971628,0.00643278031752244,0.0202531535319452,0.0256115442566828,0.00395572350507279,0.0122509670105014,0.023621024482224,0.312326588931967,0.466869924327804
"US","waning.same.protection.same.symptoms.same.transmission.same","all","two.weeks",5,-36712.0085824391,0.00468653620233191,0.00350879010785588,0.00458836122383803,0.313636914200544,45.265378362969,0.361142355059582,24.1050036096139,0.60069537600632,0.0035803727013565,0.0852139470851282,0.1546630763424,0.358017911254432,0.10517679318723,0.000705469806989719,0.215445062443292,0.12466664295098,0.237723106525052,0.018009567070613,0.0654927817501847,0.0407840322742179,0.0256150585973158,0.0579556049470489,0.0286205685693059,0.0507393646935397,0.3395167668185,0.135543148754223
"US","waning.same.protection.same.symptoms.same.transmission.same","all","two.weeks",6,-7351.65048448117,1.11901848103713,0.000291192371629681,0.00161148808550587,0.770353917051602,5.08959377765934,0.996327869197936,116.715851406121,0.294572595899313,0.121962287635622,0.243070066454565,0.697649512894814,0.0493921779382569,0.470650243989603,0.954525380627559,1.86457332642004,0.899355625176321,0.310291698353902,0.0249245328458656,0.00808901877189,0.0370699863870807,0.0288991722874262,0.00685167463178857,0.0304415951896392,0.00162072390745397,0.320885360790987,0.230926236833967
"US","waning.same.protection.same.symptoms.same.transmission.same","all","two.weeks",7,-6602.33499116958,99.497774844004,0.00231205855150645,0.000218396953458373,0.656231080830356,314.275541602396,0.566855435974358,10.6558785304389,0.0262381042941251,0.10438734119565,0.142564654225071,0.698185149416334,0.564382399972371,0.708833624161898,0.210106628912263,1.54562838336104,0.279693344594698,0.374516357934838,0.0640099744650308,0.0711621492312005,0.0517693901308332,0.00263874161956817,0.032154157210441,0.00524330004210955,0.0197709895652408,0.0898696683478282,0.28886527145291
"US","waning.same.protection.same.symptoms.same.transmission.same","all","two.weeks",8,-6494.3095546983,20.0845414959511,7.66654582508219e-05,0.000351457469277171,0.0810911858284989,8.33217977551948,0.352114185168382,109.299776427395,0.15290096056931,0.681476047919223,0.73219956465643,0.0914395134581009,0.302173845774572,0.238262071424986,0.0166969281150113,3.55877094242554,0.00511450764175583,0.00721549791753883,0.0231307475823945,0.0253893246254357,0.0117034201065223,0.0288143515761273,0.0450432436155069,0.0296557682662355,0.0443920037527566,0.31024335862144,0.474412283936043
"US","waning.same.protection.same.symptoms.same.transmission.same","all","two.weeks",9,-6989.55123188166,3.41177179745537,0.00159880765122253,0.0116143369007726,0.341140010108091,41.4338041366957,0.0549990267843513,33.2425204629247,0.96790442118349,0.070981446853885,0.252952341127492,0.971268746105085,0.335291311090497,0.124153032163539,0.666173738644713,1.87207108968907,0.324033922473023,0.308333694703999,0.0246424288760296,0.0297660464000022,0.00128446178349649,0.0192193639197328,0.0238672682874456,0.0263362051603668,0.00912990777638461,0.365124931159525,0.192295691933018
"US","waning.same.protection.same.symptoms.same.transmission.same","all","two.weeks",10,-31401.3205102465,11.4554273653195,0.000103346880144536,0.000806993049856347,0.000444123079206155,57.7802788090376,0.982420775523437,3.94132817634217,0.0774223515824121,224.7867165528,0.999319825557122,0.679424291108989,0.939641142729045,0.863358158261257,0.0235514048463519,0.0959950156749869,0.00195032076308877,0.156489596616736,0.00647310381469941,0.0136894989728618,0.0250804272756448,0.0463673605347899,0.00646870617398341,0.00645176114516362,0.0343197100234627,0.198735670608491,0.505924164834168
