"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vn_wane_rate","Vwp_wane_rate","Vap_wane_rate","Vn_fail_rate","Vn_symptom_mod","Vwp_fail_rate","V_symptom_mod","Vap_fail_rate","naive_symptom_rate","beta0","beta1","beta_mod_An","beta_mod_Av","beta_mod_A","rho","sigmaSE","lag","S_0","E_0","En_0","Ev_0","I_0","A_0","An_0","Av_0","Vn_0","Vwp_0"
"US","waning.diff.protection.diff.symptoms.same.transmission.same","all","two.weeks",1,-24247.8024289512,138.907744704814,0.00602076638378292,0.000989155436080256,0.000538000411626175,0.431629013681331,51.000182046701,0.879803569710396,61.0525283370115,0.822292098348553,0.00283418970958103,0.819727834642724,0.995088295409006,0.987717477643245,0.232529456611502,0.0134701776912928,0.0400899508321749,0.678313666808681,0.169793525324205,0.454149146835552,0.00515302733264266,0.036313634290479,0.0162146448051263,0.0492559072754342,0.00917119064615639,0.0403751961873293,0.001451893049079,0.279181768127053,0.108733591451148
"US","waning.diff.protection.diff.symptoms.same.transmission.same","all","two.weeks",2,-32082.5155508068,69.1193006930505,0.000810239817771068,0.00168527446788176,0.00141133150222892,0.482293530956898,9.10678272005017,0.275014866015097,291.860891346454,0.137676454196338,0.428303325612381,0.0545395232327146,0.656282269640158,0.46663174505259,0.713330316105614,0.179323785147039,7.70833596786502e-05,9.67507219858571,0.0695967905710007,0.25815473127476,0.0436731247549995,0.0117149037776351,0.0584989937298407,0.0329852571053354,0.0514654048639579,0.0178791125431964,0.0390855120926912,0.00558065015201637,0.480962309705568
"US","waning.diff.protection.diff.symptoms.same.transmission.same","all","two.weeks",3,-36617.5505823986,4.83291488709661,0.000682368984287406,0.00519927018736101,0.000644946429899522,0.885489854659434,30.5350620132852,0.973999137963901,92.7621008892266,0.0672367141617449,4.37650546633664e-05,0.0362718552682626,0.648847360592797,0.290508621575994,0.379168768035462,0.266097948022615,0.927824763568168,0.30947270563266,0.0227313592391126,0.2494541292575,0.0353768853439162,0.0393077763034664,0.0236461799029989,0.0287250205339761,0.0392251845265904,0.0438493500254982,0.0123560754784618,0.10265977738918,0.425399621238412
"US","waning.diff.protection.diff.symptoms.same.transmission.same","all","two.weeks",4,-36711.8606784637,0.00292562328497275,0.00146723432524632,0.00054657644732532,0.00483239968171772,0.223256787710232,230.684823933948,0.697662747407541,2.02667595887376,0.499766326869148,0.0930565738839908,0.0436953745726595,0.137078003075117,0.682985432750672,0.890245686771354,0.0932929096509613,0.00121219712998522,0.00608720299743992,0.260914709805509,0.065196093177546,0.0210825358080929,0.024334728524469,0.00390943887313111,0.012320577514404,0.0270008272731589,0.0309015678271085,0.0478840612928447,0.470368779024316,0.297001390684929
"US","waning.diff.protection.diff.symptoms.same.transmission.same","all","two.weeks",5,-10222.5222147302,171.792664928423,0.00785010662071012,0.00565309111612909,0.00110565510571204,0.848747776214105,140.613820275509,0.216284642012464,171.527368361315,0.985074975877432,0.00346814777091113,0.609191274365984,0.634607398519239,0.542797835463346,0.286089174461323,0.274098391783483,0.0189048813551358,1.73918329364101,0.0541295742959254,0.413407392000646,0.0267560635899113,0.0180340721784543,0.038973268746288,0.017934106109621,0.0335766984208306,0.0217439166392706,0.00869715130170131,0.218426480126175,0.202450850887102
"US","waning.diff.protection.diff.symptoms.same.transmission.same","all","two.weeks",6,-29759.2900898741,15.2431933094907,9.52786524730211e-06,0.000855882565402493,0.000471363071603162,0.00270199079356036,3.06605906071627,0.891141169885973,35.6428706321059,0.671277620325543,0.957216824734913,22.7567988657868,0.032819084823261,0.589913860953377,0.962420277391466,0.962580724290018,0.00493233373101197,0.211148032057063,0.73557228066625,0.0929074669833969,0.0436392858007271,0.0325115094594013,0.00804151061170283,0.0351729896829819,0.00178155049490353,0.0373663254734718,0.025544589418418,0.36016178624339,0.362872985831607
"US","waning.diff.protection.diff.symptoms.same.transmission.same","all","two.weeks",7,-8966.09331606527,102.115440705208,0.000344999243169777,0.0015023867129814,0.00138992436368168,0.894147640894045,21.9038908653102,0.177879755492253,6.83440945782209,0.27010183302395,0.0117165184634208,10.6935929627953,0.386305435683946,0.665330972052949,0.144012665784492,0.911118991542325,0.417455258809163,4.51369136832157,0.877974957773698,0.389244284566215,0.0298321482985058,0.00150009899963641,0.0178871478358394,0.00315808896668767,0.0128439054689576,0.00477670730012892,0.0171427056596131,0.268587872392596,0.255027040511821
"US","waning.diff.protection.diff.symptoms.same.transmission.same","all","two.weeks",8,-36646.2598589516,1.31578085584264,0.004995724182746,0.00119799143281584,0.00155402935648076,0.0530648563783541,85.7366179667587,0.598568260284704,35.3709935605014,0.852631840464688,0.00226592228765318,0.00250908696363651,0.740507614792998,0.0986449343149918,0.485962138183483,0.536359711836397,0.792575486643327,0.0086175430218037,0.216339840430618,0.403466123980243,0.0191216216094765,0.0486496308949369,0.0751961336773651,0.0508268712265015,0.0713227798014694,0.0577645134855224,0.0790878097754294,0.115638016706105,0.0789264988429516
"US","waning.diff.protection.diff.symptoms.same.transmission.same","all","two.weeks",9,-6620.90126421547,3.47389168798271,9.29678595544015e-05,0.00223945931885662,0.000550635995641966,0.0162786888409781,19.9381236583733,0.132661124461908,13.4525497749473,0.59275590873768,0.0521318085334617,0.25437359539001,0.54022795246981,0.0674486949637272,0.502758757421461,0.352536856977601,0.345976509182755,2.06381966533004,0.271462673452342,0.29252770298879,0.00120289912205429,0.0180509813016834,0.0230360866150996,0.0225059990263549,0.00842115401821665,0.0350584359057419,0.017481163807293,0.374024787426062,0.207690789788704
"US","waning.diff.protection.diff.symptoms.same.transmission.same","all","two.weeks",10,-36689.7767827587,0.00535914785232362,0.000535068783694333,0.000139696940104072,0.00464893607799485,0.428053962115116,9.36005074045643,0.00683240047126591,20.6295627318918,0.387944674479702,0.999842508213911,0.0239378796888998,0.961755102645485,0.448131327856109,0.205207007419499,0.189782412213221,0.000195241954131207,0.149409199353601,0.289564317383957,0.260802438176719,0.0479675657034539,0.0892540011865782,0.0116904068040624,0.0114277431675596,0.0606869287923056,0.0353110294024359,0.0911887140605606,0.36343328294643,0.0282378897598949
