"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","Vn_wane_rate","Vwp_wane_rate","Vap_wane_rate","Vn_fail_rate","Vn_symptom_mod","Vwp_fail_rate","V_symptom_mod","Vap_fail_rate","naive_symptom_rate","beta0","beta1","beta_mod_An","beta_mod_Awp","beta_mod_Aap","beta_mod_A","rho","sigmaSE","lag","S_0","E_0","En_0","Ewp_0","I_0","A_0","An_0","Awp_0","Vn_0","Vwp_0"
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",1,-31303.0598291742,4.21497220848787,2.32116450413032e-05,0.00283535971090901,0.000886910564859096,0.611702058432732,127.319055268885,0.588230824671866,205.725584722554,0.870541699124191,0.0749246966587178,18.1403653564907,0.927959458388904,0.978365911681088,0.152620882709569,0.0325135825563861,0.24805022874147,0.796045754446262,0.0584614579376721,0.0277546732223732,0.0910753138520305,0.0623104068134934,0.0302099352306425,0.0861143628874664,0.0170737063929432,0.0765157358738871,0.00239689884759306,0.0495785911407311,0.208428928184304,0.376296120776908
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",2,-36580.7232093108,0.45374057981129,0.00159922156500879,9.88428271812406e-05,0.0014217320999599,0.32388904184375,5.22298240364425,0.192565903241829,74.3101486854163,0.370770847106742,0.234108173353538,0.00302705788576266,0.91475108117903,0.766205200179077,0.923497082928462,0.226007089056348,0.0625024232561624,0.601415352019837,0.00595877359237876,0.355344547642175,0.245145234549763,0.0060745744223967,0.0314760149379154,0.0160210861037339,0.0253799795958286,0.00884937066838772,0.0213932503440927,0.00025777171420726,0.289630455663725,0.35577226199995
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",3,-33156.2253826905,7.72226476471798,0.00367706861827247,0.00496378396001616,0.0012163402029961,0.902111663881885,24.901767538108,0.984559516778287,2.48936522347818,0.708012704699782,0.00089247399206579,1.14891792615535,0.83569329301519,0.295175004648138,0.0859390587110805,0.680261685003218,0.649268719969622,0.343628829989766,0.00917109629972142,0.0354054160159687,0.290580918175369,0.0299883487314978,0.0191556193979714,0.023985597234953,0.029594914102257,0.0353358555100346,0.00934665885953672,0.00930957074232132,0.324381762506635,0.228320754739423
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",4,-36557.7338124354,3.30728216054783,0.000616906438415684,0.0015124257161163,0.00365985641383108,0.379791473849423,11.031747160512,0.285937573181728,125.411318336475,0.11802066733229,0.010263020792538,0.0211173301952375,0.485533923024725,0.711687342797596,0.342209581261775,0.154261542833745,0.369771640918515,0.000292154814748603,15.2116494100968,0.0608701197907996,0.271710070921126,0.0320110753361792,0.00497327046408112,0.0156480939134917,0.0352670440916676,0.0393487275263384,0.057056179636116,0.0604011561829932,0.360495785825298,0.123088596102709
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",5,-22929.1594534541,17.0008865182932,0.0061244734246462,0.00271904008830184,0.000525729375248485,0.657331656768353,59.5461322246625,0.706847113143192,16.7790644347106,0.661250273093647,0.0180555215995069,0.630195534630729,0.906102820770636,0.867348600970079,0.446407730620437,0.577738806648402,0.136938531064737,0.00598894772959061,0.666518558788705,0.0291219478775509,0.35286939775644,0.0202803096916682,0.0515722441965553,0.0220463582564993,0.0369837802650012,0.028854804354555,0.010936979249558,0.0277321301282238,0.254930064063579,0.19379393203792
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",6,-6953.38202048414,1.44638996844848,2.10696566755895e-05,0.000640860150715467,0.000303360133184239,0.0106003966130175,170.47321069805,0.972828364534604,478.139047935264,0.921544779654629,0.729733168918036,1.50065414864693,0.162272678839669,0.360835441620718,0.759982112894135,0.741439843412275,0.925612799377625,0.0102872005641805,4.26522639448402,0.442953144548304,0.311133730751469,0.0271241727169646,0.00656948852377716,0.0269150149752895,0.00155051587724746,0.0279599750315355,0.0232223549902476,0.0296456566137742,0.29643885580327,0.249440234716425
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",7,-6798.25111960029,576.191369297036,0.000322436025157619,0.00113905281693261,0.000520439194053681,0.497198921569552,14.0773459753097,0.0800185703060401,21.7611786329831,0.0715495135424506,0.0151117288725332,0.244418209964727,0.290907219443219,0.912748306601372,0.235608042898827,0.71128458451046,0.300323060457309,0.566383327214487,1.94388272757183,0.991274091772186,0.357628706722932,0.00182433327555514,0.0214844110468589,0.0034445797173231,0.0141217070183729,0.00558021207194088,0.0193369283905688,0.0278213656524658,0.291408846313948,0.257348909790033
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",8,-13267.3560577454,31.3123287498334,0.000112647918123412,0.000255376073055552,0.0047378880515168,0.300792289440588,46.7281703671543,0.217807519124236,192.2617425396,0.474903732619918,0.455598084745549,0.327333268832169,0.278429974969276,0.00187414824239526,0.547162723483706,0.132605430355479,0.959374209588029,0.00173266802750429,4.61217832836245,0.449465328892056,0.290353938302743,0.0672830541577667,0.1158933905014,0.0669347939759824,0.101160922859063,0.0795933398290958,0.113802496526337,0.0160022936505676,0.115851863265691,0.0331239069313545
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",9,-6692.88873098068,80.7962323523773,4.43801382535221e-05,0.002334680733116,0.000566546207119021,0.0297765832231719,6.94399683441358,0.718254957644542,41.8110091582558,0.0637795996763346,0.366979337503219,0.289245755807583,0.513494274532284,0.0227126197549669,0.574143520759339,0.575757593579698,0.77354623345997,0.616032147128682,4.87276629408995,0.0606237416774674,0.0290388096285338,0.0467792293149836,0.0592407376227156,0.0594379734831539,0.0207972406984874,0.0846201548646834,0.0420808639202079,0.0898045742901823,0.474688165181973,0.0935122509950788
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",10,-36665.2889387678,0.00201395625215994,0.000240275841169694,0.00103323728784438,0.00190785135797365,0.128760992322893,162.233511836223,0.0881214954878578,9.32744924306017,0.674323903392912,0.998929511779532,0.0182288194579834,0.923359845180746,0.980147490500389,0.350961106404043,0.0953803885847142,0.256407439229799,0.000495981212424581,0.00599902497752078,0.288774874924827,0.34641437348084,0.0645124141676491,0.00833117041505455,0.00880876049629377,0.0461639913063041,0.028898631956559,0.0597087745823842,0.0292547829064575,0.0205781744063441,0.387328926282114
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",11,-36263.7611991947,4.57044694259609,0.000158612905427754,0.00130819819005287,0.00164626606314825,0.611650079021363,65.4407918618441,0.326893221615414,5.60417589740838,0.183940701608487,0.0102858291221085,0.125621828781758,0.00430256672877344,0.923363465086274,0.628115095029789,0.6046079007456,0.917836236691454,0.000811930716454765,0.130067129783618,0.585838116609905,0.347343123358306,0.0103701303134058,0.0167014955224305,0.0400561742092415,0.0447344017066005,0.0318024027689054,0.00950137672123172,0.00905124927348808,0.12519721898472,0.365242427141671
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",12,-36693.8797751313,0.00445359704237846,0.000439412005920545,0.00278948895648126,0.00131701483656709,0.451636193475419,16.4394039945724,0.435043277099772,9.49682562246653,0.930268515523282,0.0282498046012676,0.00973862166019806,0.954920306152881,0.200059620870754,0.00510875495278749,0.985518142904179,0.477698780689763,0.0574442484154406,0.0932047459395658,0.180693093667102,0.150122316202411,0.0395416966651899,0.048979024477833,0.0215385268587561,0.0293496654567616,0.00954030088759958,0.0414444324191167,0.0368121186158362,0.425225694709648,0.197446223706848
"US","waning.diff.protection.diff.symptoms.same.transmission.diff","all","two.weeks",13,-36658.864079946,2.5958564913536,0.00315011483606997,0.00409464812168831,0.00147695367774515,0.222195966072278,2.38024476245256,0.402137252972868,56.2582846006802,0.219225931688647,0.00469247260166433,0.00793020754404667,0.459505407795361,0.34511504543003,0.827274791356892,0.824898103357509,0.0449808118376165,0.978819532841748,0.00118175106284975,0.264182194402588,0.238572869964936,0.0346620742801495,0.0150618189881712,0.000563404474015509,0.0347675560560598,0.00338863847760025,0.0192064218296963,0.00385924560897075,0.518422209116137,0.131495761204264
